,City,Latitude,Longtitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,Assiut,27.181,31.1837,66.52,44,99,7.14,EG,1636601300
305,Jumla,29.2747,82.1838,60.6,18,0,3.47,NP,1636601449
306,Dunmore Town,25.5,-76.65,78.73,67,99,18.14,BS,1636601449
307,Khomutovo,52.4658,104.4025,38.01,61,44,5.68,RU,1636601450
308,Kismayo,-0.3582,42.5454,77.25,82,9,7.94,SO,1636601082
309,Norsup,-16.0667,167.3833,83.71,73,8,8.97,VU,1636601450
310,Río Gallegos,-51.6226,-69.2181,44.65,45,0,8.05,AR,1636600897
311,Zhigansk,66.7697,123.3711,-4.63,99,97,8.41,RU,1636601451
312,Gijang,35.2442,129.2139,55.13,47,9,14.54,KR,1636601451
313,Ilulissat,69.2167,-51.1,10.42,48,95,18.41,GL,1636601452
314,At-Bashi,41.1702,75.8106,28.35,69,7,0.58,KG,1636601452
315,Broome,42.2506,-75.833,43.36,72,100,0.13,US,1636600911
316,Iqaluit,63.7506,-68.5145,4.73,71,20,17.0,CA,1636601413
317,Suining,30.508,105.5733,59.59,51,100,2.53,CN,1636601453
318,Tokur,53.1333,132.9,20.17,80,100,6.26,RU,1636601453
319,Dunedin,-45.8742,170.5036,60.06,75,62,13.53,NZ,1636601454
320,Muros,42.7762,-9.0603,58.84,90,5,4.92,ES,1636601314
321,Porto Calvo,-9.045,-35.3983,78.15,90,47,3.13,BR,1636601454
322,La Asuncion,11.0333,-63.8628,89.33,62,16,13.8,VE,1636601455
323,Pangnirtung,66.1451,-65.7125,4.41,80,59,4.79,CA,1636601455
324,Pisco,-13.7,-76.2167,62.65,88,0,6.91,PE,1636601433
325,Allāpalli,19.4167,80.0667,77.13,45,88,4.61,IN,1636601456
326,Marsá Maţrūḩ,31.3525,27.2453,68.77,71,95,10.74,EG,1636600949
327,Athabasca,54.7169,-113.2854,27.01,81,75,3.78,CA,1636601456
328,Shenjiamen,29.9576,122.298,58.21,50,2,19.17,CN,1636601147
329,Port Lincoln,-34.7333,135.8667,53.01,78,100,19.42,AU,1636601457
330,Tiarei,-17.5333,-149.3333,84.22,75,23,16.78,PF,1636601457
331,Kolpny,52.2282,37.0368,30.87,55,88,11.97,RU,1636601457
332,Dingle,10.9995,122.6711,84.47,76,98,12.95,PH,1636601458
333,São José da Coroa Grande,-8.8978,-35.1478,77.52,83,22,8.28,BR,1636601152
334,Mvangué,2.9667,11.5167,66.6,99,100,0.6,CM,1636601458
335,Yeppoon,-23.1333,150.7333,91.18,57,92,14.92,AU,1636601459
336,Saint-Pierre,-21.3393,55.4781,78.3,57,0,3.44,RE,1636601165
337,Mayo,38.8876,-76.5119,57.56,92,1,0.0,US,1636600880
338,Andijan,40.7821,72.3442,38.48,80,20,2.3,UZ,1636601459
339,Guasdualito,7.2424,-70.7324,76.44,66,94,3.36,VE,1636601460
340,Aykhal,66.0,111.5,10.33,95,100,2.66,RU,1636600913
341,Taywarah,33.35,64.4167,34.65,58,0,2.95,AF,1636601460
342,Provincia di Verona,45.4167,11.0333,53.4,78,91,2.48,IT,1636601461
343,Lata,40.1629,-8.3327,48.06,62,96,1.81,PT,1636601077
344,Kjøllefjord,70.9457,27.3465,38.1,89,96,16.51,NO,1636601462
345,Igarka,67.4667,86.5833,-11.6,100,100,6.8,RU,1636601462
346,Los Llanos de Aridane,28.6585,-17.9182,64.15,80,75,5.01,ES,1636601463
347,Upata,8.0086,-62.3989,70.38,89,52,4.72,VE,1636601463
348,Vardø,70.3705,31.1107,40.37,79,100,22.75,NO,1636601318
349,Forsytheganj,52.6333,29.7333,30.79,45,73,10.6,BY,1636601133
350,Ikalamavony,-21.15,46.5833,79.03,47,6,2.57,MG,1636601464
351,Gao,16.6362,1.637,74.97,17,57,8.84,ML,1636601465
352,Hasaki,35.7333,140.8333,70.29,44,0,25.43,JP,1636601465
353,Vol'sk,52.0333,47.3833,23.22,66,0,4.29,RU,1636601466
354,Buala,-8.145,159.5921,85.15,72,76,8.72,SB,1636600903
355,Paengaroa,-37.8167,176.4167,81.7,66,13,5.99,NZ,1636601466
